username,ranking,country,number of solved problems,P1 http://codeforces.com/problemset/problem/18/C,P2 http://codeforces.com/problemset/problem/350/B,P3 http://codeforces.com/problemset/problem/430/B,P4 https://www.urionlinejudge.com.br/judge/en/problems/view/1800,P5 https://www.urionlinejudge.com.br/judge/en/problems/view/1107,P6 https://www.urionlinejudge.com.br/judge/en/problems/view/1383,P7 https://www.urionlinejudge.com.br/judge/en/problems/view/1426,P8 https://www.urionlinejudge.com.br/judge/en/problems/view/2041,P9 https://www.urionlinejudge.com.br/judge/en/problems/view/1867
rayffqueiroga,1,Brazil,9,1,1,1,1,1,1,1,1,1
arthur1992,2,Brazil,9,1,1,1,1,1,1,1,1,1
mateuslunacc,3,Brazil,9,1,1,1,1,1,1,1,1,1
pherivelton,4,Brazil,9,1,1,1,1,1,1,1,1,1
rodrigofm,5,Brazil,9,1,1,1,1,1,1,1,1,1
claudivan,6,Brazil,9,1,1,1,1,1,1,1,1,1
lordivel,7,Brazil,9,1,1,1,1,1,1,1,1,1
lucaspk33,8,Brazil,8,1,1,1,1,1,1,1,1,1
Sampaio,9,Brazil,7,1,1,0/--,1,1,1,1,1,1
lucasan,10,Brazil,7,1,0/--,0/--,1,1,1,1,1,1
raquel.paz,11,Brazil,7,0/--,1,1,1,1,1,0/--,1,1
jvmafra,12,Brazil,7,0/--,1,1,1,1,1,0/--,1,1
caiofelipe97,13,Brazil,7,1,0/--,0/--,1,1,1,1,1,1
matheusgmaia,14,Brazil,7,1,1,0/--,1,1,1,1,1,1
c0mpaq,15,Brazil,7,1,0/--,0/--,1,1,1,1,1,1
Renan,16,Brazil,7,1,0/--,0/--,1,1,1,1,1,1
brenos,17,Brazil,6,1,0/--,1,1,1,1,0/--,1,1
marcosvn,18,Brazil,6,1,0/--,0/--,1,1,1,0/--,1,1
gervasiocaj,19,Brazil,5,1,1,0/--,0/--,1,1,1,1,0/--
joaotargino,20,Brazil,5,1,0/--,0/--,1,1,1,0/--,5/--,1
paulovitorsd,21,Brazil,4,1,0/--,0/--,1,0/--,1,0/--,0/--,1
claramm,22,Brazil,3,0/--,1,0/--,1,0/--,0/--,0/--,1,1
hiagofernandes,23,Brazil,3,1,0/--,0/--,1,0/--,0/--,0/--,0/--,1
kikoaugusto,24,Brazil,2,1,0/--,0/--,1,0/--,0/--,0/--,0/--,0/--
mareana,25,Brazil,2,1,0/--,0/--,1,0/--,0/--,0/--,0/--,0/--
emersonlucena,26,Brazil,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,1
luisadantas,27,Brazil,1,0/--,0/--,0/--,1,0/--,0/--,0/--,0/--,0/--
danielbgm,28,Brazil,1,1,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--
